IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
9.77,6.1,2.23,26.02,16.7,3.82,10.43,4.62,3.35,5.85,17.88,8.1,35.9,17.6,76.17,10.18,6.25,26.25,447.88,0.85,4.934,1.15,6.17,2.58
6.78,5.6,6.22,23.17,26.75,3.58,8.97,6.55,7.47,10.77,24.25,15.4,57.45,17.73,62.4,8.9,10.03,19.88,499.0,1.02,4.58,1.78,5.17,3.12
10.91,12.5,11.07,20.93,28.08,5.83,8.7,6.97,9.62,8.68,22.05,18.91,47.25,18.0,31.75,11.38,15.68,23.15,454.5,1.05,4.6825,3.7,5.48,3.42
6.73,25.2,10.95,24.29,29.9,4.35,10.2,2.25,5.57,16.02,12.22,9.78,22.82,17.985,30.88,11.55,9.05,24.05,327.12,1.32,5.26,3.66,4.47,5.45
4.58,24.48,8.07,16.6,29.3,5.65,8.72,3.42,6.25,11.85,20.15,11.85,18.7,19.205000000000002,40.4,25.65,6.83,20.0,377.45,1.3,5.473333333333334,4.4,4.6,5.38
6.45,26.02,10.55,20.18,33.1,8.57,8.2,10.08,7.67,9.3,33.85,19.25,24.12,20.58583333333333,34.0,22.45,10.4,34.35,461.55,1.2333333333333336,5.2875,2.89,4.12,5.3
10.06,16.88,14.85,19.21,32.5,7.67,8.35,16.1,13.25,7.12,46.22,48.08,30.27,26.034166666666668,37.1,20.38,12.47,42.4,120.39833333333337,1.3941666666666668,4.964,2.21,4.95,8.15
8.19,11.48,19.95,25.85,35.22,6.22,8.45,11.15,11.73,10.03,54.95,36.26,31.12,28.70583333333333,28.15,26.62,14.97,41.8,83.589,1.6475,6.5040000000000004,1.81,4.95,10.5
8.89,13.58,16.45,28.3,34.95,4.22,8.4,9.7,17.2,10.57,43.48,19.29,44.6,10.55,26.42,33.0,20.1,36.28,296.05,1.6716666666666666,5.91625,2.3,5.78,6.6049999999999995
13.0,13.23,18.25,32.22,36.62,3.32,9.38,8.25,14.88,9.88,58.22,16.44,50.88,24.95,26.75,27.57,29.08,34.25,118.55999999999999,2.0266666666666664,6.187,2.18,5.55,19.77
21.16,20.98,18.6,35.05,44.58,3.2,9.48,18.27,18.17,15.25,34.52,20.5,65.83,24.55,29.9,29.95,44.88,35.38,331.95,2.02,6.453636363636364,3.05,8.12,17.98
24.51,28.98,18.55,36.81,43.75,3.08,10.05,36.1,19.12,16.95,40.17,25.12,61.92,24.0,28.08,33.58,37.45,46.12,234.35,2.318333333333333,6.553,5.87,9.17,13.9
22.41,31.15,19.38,52.42,45.1,3.38,10.53,18.55,19.38,20.33,20.7,22.36,61.5,31.07,22.5,27.77,34.55,51.2,120.77,2.044166666666667,6.497,8.15,10.32,15.08
23.27,44.23,19.9,63.76,40.33,3.5,10.43,13.2,16.85,31.35,20.07,19.64,45.95,27.57,22.02,21.0,83.65,39.72,48.9,1.8,6.175,7.13,10.38,18.27
15.4,38.3,20.32,36.82,42.35,3.3,9.85,8.62,13.75,25.27,19.9,12.82,37.6,23.05,16.38,24.05,82.55,32.7,52.02,1.38,5.781818181818182,5.81,10.65,17.6
10.64,23.23,20.02,34.7,53.47,1.65,11.8,5.3,17.2,19.62,18.22,8.37,34.8,32.15,15.55,32.67,46.35,26.85,115.17,1.33,5.4772727272727275,5.73,11.53,24.38
5.75,18.12,19.23,26.12,62.67,1.25,11.65,18.55,27.1,24.12,11.88,5.77,25.25,50.4,20.3,28.02,51.83,28.27,312.53,1.4,5.9,6.84,12.05,32.4
4.63,14.53,21.2,23.95,58.02,3.33,11.22,9.82,21.23,14.77,8.32,5.01,22.3,66.22,22.52,28.45,72.05,24.95,244.93,1.3,5.12125,5.44,10.57,47.67
4.02,12.5,23.32,24.89,58.35,2.8,11.1,4.6,19.23,9.45,7.12,4.48,23.05,46.42,15.45,15.65,76.78,27.8,171.4,7.2,5.041428571428573,3.43,8.8,49.08
5.1,13.93,22.7,40.88,56.55,2.27,11.25,5.1,32.27,12.68,6.35,5.05,23.27,45.45,14.48,10.2,59.1,27.27,141.97,4.2,5.038333333333333,3.0,8.28,43.02
11.27,16.85,21.93,31.89,57.3,2.42,11.43,7.83,39.78,14.92,7.0,7.33,79.45,51.33,16.32,9.12,45.7,24.38,17.08,4.38,5.434,2.34,14.98,30.42
25.48,27.9,24.15,32.17,54.22,2.15,11.2,11.18,29.38,12.45,16.98,11.77,120.25,56.05,17.75,14.1,39.3,29.8,102.33,3.95,5.368,4.03,16.43,14.83
47.1,24.2,18.08,31.64,48.12,2.23,14.5,19.82,20.23,12.98,14.58,13.44,61.6,37.15,23.25,19.73,12.25,27.58,60.02,2.58,4.1,3.98,14.55,17.3
19.0,12.93,10.32,27.93,41.18,2.1,14.05,15.18,9.7,13.85,11.17,11.09,58.02,23.43,21.2,17.18,22.0,33.08,49.25,0.68,4.5,2.69,13.6,15.3
11.07,10.03,10.05,29.72,37.25,2.5,13.83,16.43,12.7,12.28,5.17,7.58,28.75,26.42,20.68,14.03,8.32,34.1,182.58,0.6,4.85,1.25,10.95,2.7327272727272724
6.798461538461537,9.65,7.78,33.52,37.62,3.77,13.38,21.57,10.62,26.45,3.08,7.35,53.7,22.62,20.88,12.8,7.92,30.38,133.78,1.22,4.346,1.4,9.1,9.0
