IHBAS-CPCB,Shadipur-CPCB
4.41,6.42
4.52,4.88
4.67,5.35
4.96,4.28
5.37,3.29
4.0,2.57
2.84,2.12
1.72,1.78
1.8861111111111113,1.44
1.56,1.17
1.93,1.67
1.82,1.21
0.7464705882352941,1.87
0.8227777777777777,5.19
0.968125,5.94
5.16,5.8
6.3,6.23
10.22,6.04
7.98,3.88
6.28,2.27
6.41,2.29
3.99,2.63
2.74,2.24
2.06,1.03
1.4,0.06
0.62,2.1176470588235294
0.69,2.271764705882353
0.74,2.1905882352941175
0.69,2.212941176470588
0.68,2.037777777777778
0.74,0.3
0.48,1.2823529411764707
0.94,0.21
1.06,0.27
0.78,0.63
0.81,0.38
0.54,0.68
0.58,1.17
0.978125,2.09
1.5633333333333335,1.73
2.897777777777778,1.6
2.25,2.24
4.54,4.0
4.46,5.76
4.59,13.68
3.92,14.81
5.72,11.11
7.01,5.56
8.82,5.23
6.89,5.5
4.62,3.73
4.86,3.08
4.68,2.5
3.52,2.06
3.15,1.17
2.54,2.03
1.94,1.64
1.05,0.97
0.93,1.49
0.72,1.8
0.68,1.4
0.69,2.29
0.83,1.4
1.1,2.96
2.03,3.78
3.69,3.2
3.71,2.57
3.7,3.56
3.29,2.42
3.04,1.7
2.67,1.21
1.11,1.68
1.0,1.73
1.32,1.58
1.28,1.77
1.4,1.9
1.67,2.7
2.41,3.2
2.33,1.66
1.64,1.08
1.69,1.24
1.32,1.42
1.12,1.86
1.1,1.17
0.81,0.7
0.76,2.23
1.06,2.35
1.51,2.72
3.44,3.26
3.81,3.06
4.88,3.38
6.19,1.07
4.8,1.43
3.06,1.74
1.62,1.06
0.85,1.35
0.81,1.72
1.2,1.79
1.19,1.61
1.52,1.0
1.12,0.65
1.22,1.2
1.34,0.6
1.5,0.99
1.52,1.14
1.06,1.664375
0.8,1.56625
1.02,1.461875
0.78,5.57
0.95,1.79
1.36,3.75
1.48,4.0
2.46,5.01
4.21,5.52
5.97,4.07
4.49,3.14
2.51,3.09
1.5,2.06
1.75,2.01
1.27,1.88
1.41,1.74
1.48,0.4
1.53,1.25
2.46,0.88
2.1,0.87
1.3,1.75
1.37,0.77
1.48,1.19
1.32,1.62
1.41,1.94
0.94,1.59
0.95,1.99
0.76,1.5
0.91,3.19
1.01,3.88
1.51,3.78
3.09,3.93
6.26,8.31
8.48,8.75
7.48,6.82
7.48,3.98
7.78,5.97
7.06,4.39
4.47,3.08
3.19,2.52
2.61,2.28
2.24,2.0
2.33,2.26
3.62,2.4
4.35,2.23
2.87,1.29
2.04,0.52
1.7,0.74
1.14,1.833125
1.11,1.784375
0.98,1.42625
0.71,1.6852941176470588
0.69,2.3823529411764706
0.92,2.942222222222222
1.78,3.8544444444444443
2.62,1.68
3.96,3.03
4.56,3.42
2.34,2.13
2.12,2.01
2.39,3.11
2.08,2.4
1.89,2.6
1.64,2.01
1.31,1.81
1.19,2.21
1.23,1.84
1.39,1.84
2.06,2.32
1.9,1.26
1.62,0.24
1.94,1.6
1.55,1.48
1.13,1.47
1.07,1.01
0.74,1.31
0.51,2.06
1.46,3.66
1.58,3.68
2.29,5.2
5.17,5.05
6.27,6.57
7.44,3.88
6.88,2.06
4.98,2.54
3.56,2.06
3.28,1.71
2.48,2.17
1.47,2.5
1.25,4.29
1.88,4.82
2.01,3.17
3.03,1.95
0.42,2.4
2.37,2.23
1.95,1.83
1.75,1.18
0.89,1.36
0.84,0.32
0.85,0.27
0.83,0.46
0.98,0.71
1.43,2.09
2.98,2.46
4.88,3.18
4.2,4.22
3.31,3.78
2.21,2.21
2.65,2.81
2.7,1.96
3.11,1.92
1.9,2.01
2.08,2.02
1.91,1.88
1.52,0.88
1.41,0.9
1.51,1.07
1.54,1.83
1.44,1.21
1.18,1.06
1.49,1.48
1.23,1.94
1.27,1.6
0.87,0.39
1.0,1.6
0.92,2.39
1.37,3.84
2.54,3.9
3.78,5.26
5.67,2.48
5.67,2.32
3.89,2.71
3.76,2.82
3.21,2.11
2.91,2.22
3.29,5.0
1.72,3.54
2.04,2.95
2.26,2.74
3.23,1.74
3.72,1.34
3.14,1.61
2.1,2.24
