IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
26.44,35.8,19.15,39.51,85.47,43.47,25.67,32.88,32.5,26.17,25.8,10.62,36.38,5.15,20.32,22.9,44.5,5.72,10.1,19.43,59.02,9.22,27.97,30.2,40.75,7.32,21.62,45.5,22.52
33.66,39.303333333333335,38.3,46.25,80.6,63.38,32.28,44.85,39.78,30.6,55.25,8.03,54.53,3.62,26.55,29.77,56.15,5.3,26.43,25.12,96.48,10.38,38.33,25.65,41.4,9.97,23.12,68.88,27.88
38.65,43.57555555555555,46.12,48.46,69.33,71.62,36.64,56.02,41.9,28.98,58.7,6.62,63.3,8.45,35.2,32.03,70.55,6.05,25.23,35.9,131.9,13.4,47.33,25.57,34.963076923076926,11.82,26.73,83.97,33.97
42.65,56.83399999999999,34.8,39.83,73.22,81.9,37.69,52.55,43.48,28.44,57.65,4.2,60.95,10.59,39.98,34.25,53.88,5.42,31.93,39.85,138.32,13.8,50.15,27.1,47.23,15.0,29.2,80.0,29.57
39.2,52.38363636363636,33.23,42.14,75.05,75.9,43.05,54.77,48.4,31.69,56.28,3.3,46.02,4.9,38.92,34.95,51.38,6.35,31.17,38.3,146.35,18.15,44.62,28.15,39.13428571428572,15.25,27.38,75.78,25.75
40.43,47.0925,30.5,40.26,74.03,58.4,26.57,59.33,45.92,26.97,66.53,6.72,44.2,5.67,43.38,34.23,56.55,7.05,26.5,35.7,117.33,20.33,55.78,26.23,36.74,16.88,30.32,71.12,23.73
37.95,36.316923076923075,21.7,37.46,75.28,56.05,28.19,56.15,41.35,27.05,47.52,3.25,40.57,7.67,41.2,30.45,38.12,8.62,23.93,37.03,104.6,16.07,58.77,24.58,34.07833333333333,18.85,35.38,65.92,21.55
32.13,52.7,32.75,34.07,68.9,45.55,29.34,53.65,36.58,19.33,38.88,5.88,32.27,6.52,31.73,27.52,35.08,8.95,16.5,30.8,67.32,13.32,52.08,27.9,28.460833333333337,14.72,24.42,50.05,15.2
25.55,55.23,12.9,36.02,56.83,15.12,24.23,51.7,34.4,16.7,23.35,7.55,25.05,3.76,22.52,21.62,33.42,6.0,12.930000000000003,19.95,30.57,10.62,46.73,26.88,20.146153846153844,11.85,19.98,35.5,10.98
20.05,42.12,7.52,30.02,53.5,36.5,19.04,37.88,35.42,15.52,10.28,6.97,21.45,3.09,16.27,13.15,20.45,5.4,11.294615384615385,17.38,18.08,11.38,23.55,25.2,18.359285714285715,8.12,18.75,5.12,10.35
9.67,36.77,5.2,23.98,63.35,18.12,15.54,27.7,29.5,17.25,6.15,6.22,16.02,7.08,9.85,7.08,10.88,6.03,9.858333333333333,14.05,6.5,9.53,16.77,27.25,18.965999999999994,5.77,15.47,6.18,6.93
7.24,20.43,3.55,25.21,102.6,30.35,13.96,26.75,28.73,13.34,9.47,9.9,5.83,9.88,12.1,6.35,9.82,6.85,10.42090909090909,16.45,6.8,9.0,11.85,29.05,16.973125,9.72,12.02,3.52,7.75
4.6,17.88,3.42,26.32,95.83,27.18,11.66,14.03,27.65,12.64,8.32,6.85,2.2,9.39,10.9,5.9,8.85,6.12,12.296000000000001,10.5,12.3,8.07,8.4,29.68,31.3,6.53,14.7,3.95,3.7
8.61,15.45,4.52,24.91,100.3,3.83,14.72,18.22,28.5,14.59,11.82,8.03,2.7,10.22,10.65,7.2,10.48,7.22,10.247272727272728,10.68,12.25,7.15,3.12,28.57,23.1,5.15,15.25,2.47,2.45
13.61,17.7,6.040769230769232,26.62,33.9,12.05,10.67,32.5,20.8,15.45,11.725,12.35,5.7,14.88,14.0,8.8,112.4,12.0,13.090909090909092,13.95,9.278749999999999,11.0,7.4,21.05,26.6,24.1,23.35,16.2,4.95
15.3,19.82,3.07,25.81,44.6,21.6,10.93,29.7,28.83,15.66,11.65,6.0,21.95,18.17,12.27,9.95,143.75,6.93,10.42909090909091,17.4,12.88,8.85,7.53,26.18,27.65,4.72,22.4,5.0,3.67
15.6,28.8,9.55,20.91,36.93,17.08,14.54,29.82,29.6,30.77,27.62,11.65,21.08,15.37,12.28,12.23,92.88,5.6,6.154545454545455,14.7,6.55,8.05,3.33,26.82,32.33,3.25,21.47,12.65,4.4
9.19,19.27,13.8,16.43,38.72,10.62,16.57,33.35,27.2,44.75,21.1,10.68,17.15,19.58,9.22,10.25,58.38,5.22,10.175384615384614,14.35,4.7,8.3,4.97,24.4,33.1,3.22,25.25,13.23,2.55
