IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
1.3,6.05,3.22,0.33
1.35,7.02,3.17,0.76
1.13,7.44,3.31,0.88
1.1,8.38,3.33,0.98
1.14,4.68,3.16,0.85
1.55,5.96,3.0,1.08
3.21,7.16,3.54,1.85
5.44,9.52,4.05,2.51
5.08,3.17,4.23,6.66
6.65,7.1,3.94,9.51
9.59,5.82,4.04,7.28
6.02,9.17,3.69,5.4
2.35,6.47,3.6,2.62
1.18,3.47,3.25,1.45
0.94,4.15,3.16,0.45
0.79,10.92,3.09,0.48
0.61,9.51,3.29,1.492105263157895
0.59,3.85,2.98,1.2957894736842106
0.71,6.75,2.83,1.2599999999999998
0.8,3.3,2.95,0.04
0.55,4.56,2.63,0.53
0.72,9.66,2.54,0.78
0.66,4.5,2.73,1.17
0.79,8.07,2.6,1.4
0.78,11.71,2.65,0.95
0.95,8.17,2.62,0.43
0.71,5.02,2.48,0.25
0.61,9.93,2.39,0.87
0.76,7.26,2.55,1.78
0.91,6.78,2.57,2.3
1.83,4.65,2.62,2.36
3.03,5.61,3.12,5.51
4.77,6.68,3.32,5.37
3.51,6.39,3.25,2.36
1.52,8.0,3.15,0.81
0.82,5.04,3.56,0.24
0.61,7.93,3.13,0.43
0.51,5.66,2.9,0.12
0.43,5.63,2.88,1.3820000000000001
0.4,4.04,2.61,1.1605263157894736
0.4,4.96,2.54,1.1099999999999999
0.38,8.61,2.4,1.0033333333333334
0.47,9.43,2.38,1.0971428571428572
0.52,10.46,2.39,1.1353333333333333
0.58,4.02,2.2,0.24
0.71,5.2,2.12,0.21
0.89,6.65,2.23,1.1794736842105265
0.72,3.21,2.34,0.68
0.82,12.29,2.4,0.17
0.77,11.6,2.31,0.86
0.75,11.02,2.21,1.61
0.68,7.4,2.23,1.54
1.15,9.53,2.4,0.96
1.02,7.68,2.47,0.89
1.14,7.32,2.75,0.92
1.59,12.52,2.89,0.62
1.64,8.84,2.86,0.61
1.36,7.22,2.83,0.29
1.11,5.98,2.61,0.89
0.63,9.95,2.56,0.81
0.41,6.08,2.59,2.2334999999999994
0.35,7.68,2.6,1.752105263157895
0.38,7.55,2.61,1.669375
0.33,5.29,2.36,1.3753333333333333
0.44,3.59,2.12,1.4525
0.41,7.11,2.23,1.627
0.5,5.86,2.2,1.3483333333333336
0.55,9.27,2.14,0.9892857142857144
0.85,9.62,2.21,0.8586666666666666
1.62,10.73,2.22,0.6756249999999999
0.97,3.56,2.4,0.92
1.8,10.79,2.47,0.27
1.22,7.44,2.57,0.84
0.94,11.14,2.59,0.41
0.81,5.95,2.62,0.8809999999999999
0.92,4.69,2.48,1.1604545454545454
1.54,8.76,2.71,0.04
1.29,8.91,2.55,0.88
2.38,6.36,2.72,0.73
2.13,6.43,3.17,1.81
2.78,8.12,3.51,3.17
5.11,7.93,3.5,1.98
3.58,11.32,3.33,1.64
4.07,7.75,3.18,1.23
1.61,8.39,3.29,1.05
1.49,8.52,2.9,0.14
1.4,7.48,2.67,1.261111111111111
1.2,9.22,2.54,1.0105263157894737
1.14,6.5,2.67,0.9774999999999999
1.54,8.96,2.67,1.1463636363636363
1.47,4.22,2.38,0.19
1.28,8.11,2.52,0.57
1.09,7.37,2.41,0.6506666666666666
1.26,6.71,2.66,0.6699999999999999
1.12,4.55,2.73,0.6
1.02,9.78,2.83,0.9758823529411764
1.28,11.37,2.93,0.53
1.18,7.53,2.96,1.05
1.45,5.91,2.93,0.43
1.03,8.46,2.46,0.31
1.06,9.27,2.48,0.15
1.6,6.99,3.0,0.15
3.66,15.24,2.67,0.05
4.88,4.88,2.85,1.56
5.01,7.57,3.23,1.91
3.51,7.15,3.76,1.65
3.27,8.17,3.5,0.92
1.75,5.82,3.43,0.71
3.57,6.6,3.04,0.36
1.45,8.61,3.33,0.21
1.48,9.01,3.3,0.5
1.21,7.94,3.17,0.03
1.44,7.24,3.01,0.65
1.75,12.49,3.11,0.53
2.14,7.59,2.9,0.46
1.95,7.1,2.96,0.9757142857142858
1.96,5.85,3.16,0.7853333333333335
1.59,3.92,3.17,0.7414285714285714
1.64,8.58,2.92,1.0121428571428575
1.51,10.71,2.1,0.9746666666666667
2.88,8.57,2.29,0.66
0.82,5.74,2.62,0.22
1.65,9.73,2.4305000000000003,1.0173684210526317
1.5,8.55,2.489,0.33
1.67,4.65,2.473,0.4
1.99,9.31,2.5580000000000003,0.39
3.12,14.31,2.44,0.98
4.42,7.28,2.5,1.67
5.96,8.35,2.5,2.87
6.06,10.88,3.39,4.49
8.63,7.57,3.7,3.69
7.34,12.88,3.63,1.89
5.11,6.11,3.91,0.62
2.8,7.99,3.01,0.71
2.13,9.4,1.51,0.5
2.02,12.15,1.86,0.37
1.86,4.66,3.12,0.49
1.97,6.24,3.22,1.0836363636363635
1.59,8.67,3.15,0.7278571428571429
1.35,7.48,3.33,0.7753846153846153
1.3,8.8,2.99,0.6461538461538462
1.26,7.26,2.42,0.6038461538461538
1.48,9.95,0.66,0.14
1.04,12.45,1.48,0.19
1.2652380952380953,7.79,2.24,0.46
1.085,7.49,2.14,0.47
1.0173684210526315,10.89,2.45,0.32
1.138888888888889,6.58,1.94,1.43
1.4394736842105262,7.7,1.91,1.42
1.5775,12.17,1.98,1.03
2.1799999999999997,9.3,4.1,1.61
1.99,8.73,2.72,2.68
2.03,8.36,2.14,8.88
2.63,9.9,2.35,11.23
3.48,9.79,2.65,6.66
3.21,10.37,2.79,4.53
3.3,8.15,2.82,4.14
3.09,6.1,2.92,4.07
3.08,9.53,3.84,3.83
2.89,11.02,3.26,3.75
2.63,7.16,2.78,3.49
2.64,12.53,2.83,4.06
2.3,7.09,3.12,2.83
2.2,7.91,3.21,1.81
1.94,7.31,3.07,0.4
1.38,11.24,3.04,0.4
1.04,11.48,2.41,0.46
1.06,13.68,2.44,0.97
1.86,11.71,3.12,1.36
1.25,8.63,3.25,1.35
0.42,8.56,3.1,1.12
1.17,8.65,3.0,2.14
3.1,3.42,2.9,4.63
1.54,10.36,2.71,4.65
1.15,10.98,1.63,4.58
3.04,11.12,3.07,7.36
2.53,12.42,3.71,7.83
2.38,10.27,3.57,7.27
2.34,4.63,3.6,4.09
2.07,10.8,3.53,2.98
1.62,12.78,3.3,1.66
1.39,9.48,3.13,1.1
1.56,8.52,1.98,2.04
1.22,5.94,2.59,1.81
0.69,12.36,3.53,1.78
0.59,0.9,3.25,1.01
0.65,11.62,3.04,1.07
0.66,11.22,2.9,1.5
0.67,7.65,2.92,1.38
1.0,13.35,2.63,1.01
1.05,4.93,3.12,0.8235714285714285
0.51,6.17,3.64,0.6638461538461538
0.42,7.23,3.94,0.7464285714285716
0.34,4.85,2.415882352941177,0.544375
0.29,12.74,2.524666666666667,0.8053846153846153
0.6144,16.37,2.4842857142857144,1.4047058823529412
0.06,10.08,2.3446153846153845,0.68
0.23,8.35,2.2966666666666664,1.08
0.52,6.84,3.4966666666666666,3.24
1.53,6.06,4.1725,6.71
2.34,11.46,3.7225,12.18
3.95,13.3,3.5191666666666666,15.7
3.7,7.18,3.358333333333333,8.83
2.46,9.53,3.4583333333333335,5.44
1.31,8.3,3.3333333333333335,3.23
0.76,8.81,3.1149999999999998,2.57
0.33,9.29,2.8366666666666664,1.52
0.24,4.07,2.6769230769230767,0.77
0.19,11.55,2.985,0.45
0.17,9.65,2.9625,1.1637499999999998
0.15,6.41,2.994166666666666,1.1258823529411766
0.15,9.05,2.9066666666666663,1.1276923076923078
0.16,5.62,2.8108333333333335,0.6423076923076922
0.2,4.87,2.565,0.02
0.2,4.59,2.4958333333333336,0.14
0.19,7.6,2.381538461538462,0.35352941176470587
0.24,6.08,2.609166666666667,0.38
0.25,4.96,2.353333333333334,0.21
0.25,7.88,2.5354545454545456,0.35
0.41,4.46,2.548181818181818,0.6964705882352941
0.55,12.99,2.4436363636363634,0.02
0.3,7.93,2.4618181818181823,0.15
0.39,6.22,2.517272727272727,1.3471428571428572
0.48,7.88,2.6554545454545457,2.4939999999999998
0.54,6.02,2.8190909090909084,3.4269999999999996
0.4,6.49,3.061818181818182,4.32
0.24,5.47,2.9927272727272727,3.6166666666666663
0.2,8.22,2.9936363636363637,2.301666666666667
0.15,8.94,2.9309090909090902,1.824285714285714
0.12,4.95,2.7654545454545456,1.467857142857143
0.13,9.8,2.586363636363636,1.4421428571428572
0.14,13.43,2.4016666666666664,1.4315384615384614
0.13,13.1,2.658181818181818,1.075
0.18,8.85,2.626363636363637,1.207
0.22,10.25,2.567272727272727,1.0466666666666666
0.22,7.78,2.4408333333333334,1.017
0.22,7.67,2.3675,1.05
0.23,6.51,2.1476923076923073,0.6411111111111111
0.25,6.16,2.0357142857142856,0.6283333333333334
0.3,7.52,1.07,0.31
0.28,14.73,2.0053333333333336,0.5240000000000001
0.27,8.61,0.44,0.16
0.21,8.1,1.96,0.6781250000000001
0.39,7.67,1.65,0.15
0.38,6.55,1.38,0.2
0.62,5.82,1.53,1.02
0.71,11.07,1.41,0.55
0.85,7.09,1.41,1.59
0.92,14.36,1.65,1.96
0.9,8.26,1.64,2.06
0.84,6.12,1.61,2.08
0.58,8.06,2.37,1.24
1.4,10.37,2.25,1.603181818181818
0.5,13.71,2.25,1.428
0.47,9.25,2.16,0.3
0.39,5.53,1.99,0.52
0.4,6.88,1.97,0.15
0.65,9.12,1.95,1.0735714285714284
0.93,10.08,2.11,0.9546666666666668
0.83,5.28,1.94,1.1158333333333335
