IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,Lodhi-Road-IMD,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC
9.11,12.85,3.35,8.47,12.3,14.1,26.45,10.1,15.5,59.23,15.84,5.12,5.97,59.83,22.24,12.42,5.8,15.811111111111112,20.02,70.94,12.35,13.57,13.18,8.82,6.52,6.12,9.2,8.33,38.75,13.23,9.35
8.16,9.57,3.78,7.97,13.27,12.05,26.56,10.77,14.2,57.81,15.49,5.4,6.05,61.12,26.01,13.22,5.85,11.2,21.3,62.12,14.35,13.1,16.38,8.6,6.45,5.85,8.75,8.32,46.33,12.09,9.45
8.81,15.68,4.0,7.4,13.2,10.68,26.29,9.65,15.97,57.72,15.38,7.0,6.05,58.5,28.48,11.03,5.88,10.55,20.3,58.27,22.62,15.03,15.78,11.52,6.78,6.1,9.07,9.72,64.35,12.58,13.937692307692307
9.91,23.4,4.28,7.88,14.62,9.68,26.06,11.02,15.65,56.99,15.48,7.78,8.88,63.05,27.74,11.7,5.88,9.72,18.32,61.01,22.7,13.93,21.17,15.43,7.25,6.7,8.12,10.23,53.0,13.12,16.234166666666667
10.47,36.67,5.72,10.18,18.27,8.9,27.48,8.42,18.1,56.63,15.63,15.72,13.27,94.2,23.92,17.15,6.45,12.28,21.95,74.3,30.02,13.7,29.38,16.95,7.58,9.1,9.78,13.58,55.98,14.32,19.510833333333334
11.57,34.23,8.2,12.3,18.05,9.18,32.53,9.65,21.2,54.04,16.05,27.9,13.43,82.8,23.8,17.45,10.82,23.4,24.5,81.99,38.9,15.98,29.95,22.7,10.53,9.52,22.08,23.1,70.97,17.16,22.68
15.8,40.65,10.23,13.35,23.53,9.35,48.03,10.55,23.3,51.46,16.5,27.25,15.48,95.8,28.82,25.83,11.93,27.33,29.62,101.18,50.27,22.82,21.02,20.48,12.6,9.15,25.82,27.12,49.47,17.74,29.375
22.42,33.98,10.82,14.35,30.5,10.22,38.91,13.43,25.43,58.14,16.51,23.93,15.48,55.1,37.52,28.58,11.25,32.9,30.85,95.68,40.75,20.7,22.17,22.45,12.8,14.78,24.97,39.28,48.38,14.21,35.688
30.58,23.85,11.9,12.2,26.55,10.3,34.22,14.9,21.55,58.73,16.72,25.55,17.9,32.98,28.12,23.0,11.7,34.75833333333333,32.6,88.54,39.17,15.93,15.48,22.7,12.85,22.3,23.3,26.88,48.55,12.33,34.971999999999994
43.9,20.35,15.15,9.65,24.47,8.12,32.8,15.5,21.4,57.76,16.97,31.75,16.95,17.3,24.44,17.77,10.78,29.6,31.85,77.61,39.75,12.92,9.5,16.5,10.6,14.8,22.1,22.93,19.5,15.54,35.23100000000001
