IHBAS-CPCB,East-Arjun-Nagar-CPCB,Shadipur-CPCB,Punjabi-Bagh-DPCC
35.85,32.64,66.22,60.4
36.39,33.19,82.85,72.85
35.9,33.39,76.56,68.03
34.99,33.57,68.95,67.12
34.6,33.66,67.37,65.62
33.77,32.97,71.24,69.72
33.12,32.38111111111111,75.64,72.25
32.7,32.05,79.4,74.9
31.72,31.68857142857143,81.7,76.3
31.63,31.264999999999997,84.36,77.82
30.95,30.6,84.49,78.8
31.56,29.725,85.72,79.55
30.98,29.3925,85.6,80.9
30.2,29.1625,87.26,82.03
30.43,28.7225,89.43,82.68
29.97,28.5475,90.05,83.55
29.96,28.229999999999997,90.38,84.02
27.82,28.0075,91.44,85.12
28.01,27.8525,93.3,85.9
